source,rel,target,date,rank,role,conf,note
jpmc,offers,p_jpm_fraud,,,,,
p_jpm_fraud,enables,cap_fraud,,,,,
revolut,offers,p_rev_air,,,,,
p_rev_air,enables,cap_client,,,,,
p_rev_air,enables,cap_portfolio,,,,,
revolut,offers,p_rev_support,,,,,
p_rev_support,enables,cap_service,,,,,
p_rev_support,enables,cap_client,,,,,
revolut,offers,p_rev_voice,,,,,
p_rev_voice,built_on,elevenlabs,,,,,
p_rev_voice,enables,cap_service,,,,,
p_rev_voice,enables,cap_client,,,,,
revolut,offers,p_rev_robo,,,,,
p_rev_robo,enables,cap_robo,,,,,
revolut,offers,p_rev_suggest,,,,,
p_rev_suggest,enables,cap_research,,,,,
revolut_x,offers,p_rev_xmcp,,,,,
p_rev_xmcp,built_on,anthropic,,,,,
p_rev_xmcp,built_on,google_cloud,,,,,
p_rev_xmcp,built_on,cursor,,,,,
p_rev_xmcp,built_on,openclaw,,,,,
p_rev_xmcp,enables,cap_agentaccess,,,,,
p_rev_xmcp,enables,cap_portfolio,,,,,
revolut,offers,p_rev_sherlock,,,,,
p_rev_sherlock,built_on,google_cloud,,,,,
p_rev_sherlock,built_on,couchbase,,,,,
p_rev_sherlock,enables,cap_fraud,,,,,
revolut,offers,p_rev_cardscam,,,,,
p_rev_cardscam,enables,cap_fraud,,,,,
revolut,offers,p_rev_pragma,,,,,
p_rev_pragma,built_on,nvidia,,,,,
p_rev_pragma,built_on,nebius,,,,,
p_rev_pragma,enables,cap_foundation,,,,,
p_rev_pragma,enables,cap_fraud,,,,,
p_rev_pragma,enables,cap_credit,,,,,
revolut,offers,p_rev_pb,,,,,
p_rev_pb,enables,cap_guidance,,,,,
t212,offers,p_t212_pies,,,,,
p_t212_pies,enables,cap_robo,,,,,
t212,offers,p_t212_analysis,,,,,
p_t212_analysis,built_on,openai,,,,,
p_t212_analysis,enables,cap_portfolio,,,,,
p_t212_analysis,enables,cap_research,,,,,
t212,offers,p_t212_chatbot,,,,,
p_t212_chatbot,enables,cap_client,,,,,
p_t212_chatbot,enables,cap_portfolio,,,,,
t212,offers,p_t212_agentskills,,,,,
p_t212_agentskills,built_on,anthropic,,,,,
p_t212_agentskills,built_on,openai,,,,,
p_t212_agentskills,built_on,openclaw,,,,,
p_t212_agentskills,enables,cap_agentaccess,,,,,
t212,offers,p_t212_kyc,,,,,
p_t212_kyc,built_on,klippa,,,,,
p_t212_kyc,enables,cap_docs,,,,,
hsbc_wealth,part_of,hsbc,,,,,
hsbc_am,part_of,hsbc,,,,,
barclays_wealth,part_of,barclays,,,,,
barclays_us,part_of,barclays,,,,,
citi_wealth,part_of,citi,,,,,
scottish_widows,part_of,lloyds,,,,,
lloyds_wealth,part_of,lloyds,,,,,
coutts,part_of,natwest,,,,,
jpmpi,part_of,jpmc,,,,,
chase_uk,part_of,jpmc,,,,,
revolut_x,part_of,revolut,,,,,
p_hsbc_wi_my,extends,p_hsbc_wi,,,,,
p_citi_askcio,extends,p_citi_askwealth,,,,,
p_citi_prepagent,runs_on,p_citi_arc,,,,,
p_lbg_fraudagents,runs_on,p_lbg_envoy,,,,,
p_lbg_athena,runs_on,p_lbg_vertex,,,,,
p_nw_agentic,extends,p_nw_cora,,,,,
p_nw_fraudcora,extends,p_nw_cora,,,,,
p_lbg_investai,offered_via,lloyds_wealth,,,,,"To extend as ""Invest AI"" simplified advice under Lloyds Wealth (Jul 2026)"
jpmpi,distributed_via,chase_uk,,,,,
hsbc,partners_with,google_cloud,2026-06-17,,,,"Multi-year AI partnership: 200+ use cases over 2 years, >US$100m value threshold; wealth, financial crime, AI-empowered teams"
hsbc,partners_with,mistral,2025-12-01,,,,"Multi-year access, self-hosted on HSBC infrastructure; co-development"
hsbc,partners_with,harvey,2026-01-20,,,,
hsbc,partners_with,ibm,,,,,Quantum research; trade document checking
hsbc,partners_with,aws,,,,,AiGT index ML
hsbc_am,invests_in,model_ml,2026-08-11,,,,
hsbc,invests_in,poolside,,,,secondary,HSBC Ventures (snippet-level)
barclays,partners_with,microsoft,2025-06-09,,,,"Copilot, Viva, agents; Innovation Hub partner"
barclays,partners_with,gitlab,,,,,
barclays,invests_in,commonai,2026-06-09,,,,
citi,partners_with,google_cloud,2024-10-28,,,,Multi-year: workload migration and Vertex AI / Gemini
citi_wealth,partners_with,palantir,,,,,
citi,invests_in,sakana,2026-02-24,,,,
citi,invests_in,conquest,,,,secondary,Citi Ventures
citi,invests_in,deepgram,2026-01,,,secondary,Citi Ventures
citi,invests_in,polyai,2025-12,,,secondary,Citi Ventures
lloyds,partners_with,google_cloud,2025-04-09,,,,
lloyds,partners_with,microsoft,2026-06-04,,,,M365 E7 Frontier Suite
lloyds,invests_in,aveni,,,,,£11m Series A; existing investor in £12m Jun 2026 round; FinLLM co-development
lloyds_wealth,formerly_jv_with,schroders,2025-10-09,,,,
natwest,partners_with,openai,2025-03-20,,,,First UK-headquartered bank to collaborate with OpenAI; bank-wide incl. wealth
natwest,partners_with,ibm,2023-11-06,,,,GenAI Cora+ on watsonx
natwest,partners_with,aws,2025-07-23,,,,5-year data & AI collaboration
natwest,partners_with,accenture,2025-07-23,,,,5-year data & AI collaboration
natwest,acquired,evelyn,,,,,
revolut,partners_with,nvidia,,,,,PRAGMA training; Revolut Research partner
revolut,partners_with,elevenlabs,2026-01-28,,,,
hsbc,runs,i_hsbc_coe,,,,,
hsbc,runs,i_hsbc_principles,,,,,
hsbc_wealth,runs,i_hsbc_trust,,,,,
barclays,runs,i_bar_coe,,,,,
barclays,runs,i_bar_gov,,,,,
barclays,runs,i_bar_hub,,,,,
i_bar_hub,with_partner,microsoft,,,,,
i_bar_hub,with_partner,nvidia,,,,,
i_bar_hub,with_partner,databricks,,,,,
citi,runs,i_citi_training,,,,,
citi,runs,i_citi_champions,,,,,
lloyds,runs,i_lbg_coe,,,,,
lloyds,runs,i_lbg_academy,,,,,
lloyds,runs,i_lbg_rai,,,,,
lloyds,runs,i_lbg_acc2030,,,,,
natwest,runs,i_nw_research,,,,,
natwest,runs,i_nw_ethics,,,,,
natwest,runs,i_nw_fintech,,,,,
aveni,cohort_member_of,i_nw_fintech,,,,,
revolut,runs,i_rev_research,,,,,
revolut,runs,i_rev_aiunit,,,,,
i_rev_research,builds_on,p_rev_pragma,,,,,
p_rev_air,built_by,i_rev_aiunit,,,,,
t212,runs,i_t212_aiteams,,,,,
jpmc,ranked_in,evident25,,1,,,#1 for the 4th consecutive year
hsbc,ranked_in,evident25,,8,,,First UK-headquartered bank in the top 10
lloyds,ranked_in,evident25,,15,,,Up 12 places; tied with UBS for top Responsible AI leadership
natwest,ranked_in,evident25,,16,,secondary,
barclays,ranked_in,evident25,,23,,,
citi,ranked_in,evident25,,,,,"Named ""Most Entrepreneurial"" for most AI investments; overall rank unconfirmed"
barclays,participates_in,fca_alt,2026-04-21,,,,Use case undisclosed
scottish_widows,participates_in,fca_alt,2026-04-21,,,,InvestAI pilot
natwest,participates_in,fca_alt,,,,,"""Early participation"" in FCA AI Live Testing (programme cohort not specified)"
advai,technical_partner_of,fca_alt,,,,,
p_lbg_investai,positioned_for,fca_ts,,,,,
p_hsbc_hkma,trialled_in,hkma_sandbox,,,,,
natwest,co_authored,agentic_principles,2026-09-22,,,,
p_jpm_llmsuite,won,ab_award,,,,,
p_rev_sherlock,won,fstech_award,,,,,
lloyds,rated_in,euromoney,,,,,
pp_elhedery,leads,hsbc,,,Group CEO,,
pp_rice,leads,hsbc,,,Chief AI Officer (from Apr 2026),,
pp_shamtani,leads,hsbc,,,CTO,,
pp_calvery,leads,hsbc,,,Financial crime,,
pp_calvery,champions,p_hsbc_dra,,,,,
pp_venkat,leads,barclays,,,Group CEO,,
pp_oneill,leads,barclays,,,Group CIO (from Oct 2025),,
pp_bright,leads,barclays,,,Group CIO (to Oct 2025),,
pp_bright,champions,p_bar_copilot,,,,,
pp_tuo,leads,barclays,,,Global head of AI governance,,
pp_tuo,champions,i_bar_gov,,,,,
pp_fraser,leads,citi,,,CEO,,
pp_sieg,leads,citi_wealth,,,Head of Wealth,,
pp_sieg,champions,p_citi_sky,,,,,
pp_griffiths,leads,citi,,,CTO,,
pp_griffiths,champions,p_citi_arc,,,,,
pp_saluzzo,leads,citi,,,CIO (from Mar 2026),,
pp_moore,leads,citi_wealth,,,Wealth CIO,,
pp_moore,champions,p_citi_cioagent,,,,,
pp_bonanno,leads,citi_wealth,,,"Head of Data, Analytics & Innovation",,
pp_bonanno,champions,p_citi_askwealth,,,,,
pp_gupta,leads,lloyds,,,Chief Data & AI Officer (from Jun 2026),,
pp_dhawan,leads,lloyds,,,Group Head of AI,,
pp_kemenade,leads,lloyds,,,COO,,
pp_kemenade,champions,p_lbg_envoy,,,,,
pp_boteju,leads,lloyds,,,Chief Data & Analytics Officer (2025),,
pp_boteju,champions,p_lbg_fa,,,,,
pp_brink,leads,lloyds,,,Head of Responsible AI,,
pp_brink,champions,i_lbg_rai,,,,,
pp_barua,leads,scottish_widows,,,CEO,,
pp_barua,champions,p_lbg_investai,,,,,
pp_pantic,leads,natwest,,,Chief AI Research Officer,,
pp_pantic,champions,i_nw_research,,,,,
pp_marcar,leads,natwest,,,CIO,,
pp_oulidi,leads,coutts,,,PB&WM COO,,
pp_oulidi,champions,p_nw_rmsum,,,,,
pp_thwaite,leads,natwest,,,CEO,,
pp_dimon,leads,jpmc,,,CEO,,
pp_waldron,leads,jpmc,,,Chief Analytics Officer,,
pp_erdoes,leads,jpmc,,,"CEO, Asset & Wealth Management",,
pp_erdoes,champions,p_jpm_coach,,,,,
pp_storonsky,leads,revolut,,,Co-founder & CEO,,
pp_bashlykov,leads,revolut_x,,,Head of Crypto Product,,
pp_bashlykov,champions,p_rev_xmcp,,,,,
pp_ashminov,leads,t212,,,Co-founder & chair,,
pp_ashminov,champions,p_t212_analysis,,,,,
